TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,TotalEnrollments,CoursesTaught,AverageCourseRating,TotalRevenue,AverageCoursePrice,RatingStdDev,RatingConsistencyIndex,ExperienceImpactScore,EnrollmentInfluenceRatio,OverallScore
TC00022,John Holmes,33,Male,Digital Marketing,3,2.5,42,16,3.616190476190476,2434.94,57.974761904761905,1.1334341350266763,27.317264478797732,31.25,0.252,48.41
TC00023,Robert Mack,32,Male,Finance,4,2.99,95,18,3.2365263157894733,3299.98,34.73663157894737,1.021307847832764,34.50748844086121,38.233333333333334,0.5700000000000001,51.91
TC00024,Michael Kim,40,Male,Digital Marketing,6,4.22,57,8,3.5828070175438596,5215.17,91.4942105263158,0.8840930671475975,43.30654019511688,54.699999999999996,0.342,66.42
TC00025,Justin Pham,29,Male,Web Development,4,2.17,48,15,2.8814583333333332,363.94,7.582083333333333,1.1641470068449686,25.347767116330367,30.03333333333333,0.28800000000000003,41.38
TC00026,Patrick Wilson,29,Male,Web Development,1,2.83,51,15,3.2254901960784315,1518.35,29.77156862745098,1.1033445766857972,29.246791165223527,30.383333333333336,0.306,48.26
TC00027,Laurie Michael,44,Female,Artificial Intelligence,3,1.55,133,13,3.1497744360902256,29723.739999999998,223.4867669172932,1.1369033341316748,27.09479819405587,21.75,0.798,37.97
TC00028,Timothy Bailey,27,Female,Business,3,1.06,161,16,2.7651552795031056,31102.99,193.1862732919255,0.7497867243340454,51.91908510784582,16.85,0.9660000000000001,36.7
TC00029,David Webb,50,Male,Artificial Intelligence,2,3.1,66,18,3.2648484848484847,11323.98,171.57545454545453,1.0636876962490047,31.789833114736975,35.166666666666664,0.396,51.58
TC00030,David Aguirre,50,Male,Artificial Intelligence,6,3.01,54,17,3.235185185185185,10969.24,203.13407407407408,1.1022511112397255,29.316910863724168,42.599999999999994,0.324,51.85
TC00031,Brenda Mercer,47,Female,Cybersecurity,1,1.86,164,15,3.0733536585365857,9226.36,56.258292682926836,1.3105121358489562,15.961939010250692,20.683333333333334,0.9840000000000001,36.93
TC00032,James Holder,44,Male,Cybersecurity,1,3.11,36,15,3.1794444444444445,2400.2,66.67222222222222,1.4419331160324707,7.534421213293985,33.18333333333334,0.21600000000000003,45.88
TC00033,Wesley Garcia,39,Female,Design,12,4.04,137,8,3.2479562043795625,9539.04,69.6280291970803,1.1197269485210715,28.196253191717712,65.4,0.8220000000000001,62.45
TC00034,Brandon Dawson,38,Male,Web Development,3,2.79,51,15,3.025686274509804,648.6,12.71764705882353,1.2808548003610103,17.863748921316414,34.150000000000006,0.306,45.3
TC00035,Sharon Jackson,27,Male,Digital Marketing,5,3.13,38,14,3.7728947368421055,2941.46,77.40684210526315,0.9190356517354153,41.06580775594093,41.71666666666667,0.228,57.97
TC00036,Brenda Mclean,28,Male,Digital Marketing,4,1.39,46,15,3.3821739130434785,2598.27,56.48413043478261,1.1819041379504296,24.209071162265815,22.23333333333333,0.276,37.92
TC00037,Debra Escobar,47,Male,Finance,8,4.39,117,10,3.0544444444444445,5055.79,43.21188034188034,0.9774407508672525,37.32051524876847,60.566666666666656,0.7020000000000001,64.24
TC00038,Jeffrey Clark,43,Male,Digital Marketing,1,2.38,70,18,3.484,3805.6299999999997,54.366142857142854,1.1287320062924526,27.618793759251414,25.88333333333333,0.42000000000000004,45.88
TC00039,Elizabeth Bishop,34,Male,Finance,7,3.31,41,16,3.388292682926829,741.5799999999999,18.08731707317073,0.9700255214143189,37.79602515666789,47.68333333333334,0.24600000000000002,57.29
TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,3025,55,3.1479966942148763,284933.49,94.19288925619834,1.1422634085155274,26.75107741066305,95.80000000000001,18.150000000000002,70.88
TC00041,Kevin Simpson,46,Male,Artificial Intelligence,7,3.55,44,7,3.1793181818181817,9785.05,222.3875,0.9289864387506761,40.42770237468648,50.083333333333336,0.264,58.48
TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,3061,55,3.079251878471088,281719.73,92.03519438092127,1.1721133902521543,24.83691384276865,93.45,18.366,71.95
TC00043,John Williams,30,Female,Project Management,1,1.05,68,14,2.960735294117647,8800.9,129.42499999999998,1.4401381734874377,7.649523917760637,12.583333333333336,0.40800000000000003,28.11
TC00044,Barbara Maynard,27,Male,Finance,4,2.61,77,14,3.2022077922077923,1622.8400000000001,21.07584415584416,1.069382044105039,31.424676669915307,34.43333333333334,0.462,48.04
TC00045,Emily Gutierrez,28,Female,Web Development,5,1.07,56,17,2.8005357142857146,1667.38,29.774642857142858,1.2273436499468822,21.2952114763892,21.116666666666667,0.336,31.71
TC00046,Brent Walters,33,Male,Cybersecurity,6,3.87,31,9,2.888387096774194,2744.27,88.52483870967743,1.2859344119464093,17.538013129528828,51.2,0.186,54.3
TC00047,Brad Griffin,27,Male,Design,4,1.79,65,14,3.1681538461538463,2961.17,45.55646153846154,1.1861082532642366,23.939477551123268,26.23333333333333,0.39,39.78
TC00048,Theresa Gonzalez,30,Male,Finance,7,3.18,33,15,3.3242424242424238,462.93,14.02818181818182,1.1771974937936025,24.51088999925983,46.38333333333333,0.198,53.2
TC00049,Valerie Wiley,46,Female,Machine Learning,6,3.46,95,16,2.910947368421053,556.8,5.861052631578947,1.3645949236718882,12.493819565011865,47.099999999999994,0.5700000000000001,50.14
TC00050,Alexander Williams,32,Female,Digital Marketing,3,3.41,24,15,3.2925,1508.67,62.861250000000005,1.0676681213707304,31.534583888122203,40.35,0.14400000000000002,54.59
TC00051,John Obrien,36,Female,Design,2,1.77,63,14,3.1163492063492066,1106.26,17.55968253968254,1.2747198320735493,18.25716064564038,21.866666666666667,0.378,37.34
TC00052,Susan Johnson,34,Female,Business,12,3.43,97,19,2.84340206185567,16773.24,172.92000000000002,0.8313178375802109,46.690811000254406,59.300000000000004,0.5820000000000001,58.84
TC00053,Aaron Kirby,35,Male,Marketing,9,4.29,120,9,3.646666666666667,2564.97,21.37475,1.0520898237312628,32.53355970172195,61.65,0.7200000000000001,66.46
TC00054,Shelby Patrick,40,Female,Artificial Intelligence,7,4.28,46,9,3.146304347826087,11551.14,251.11173913043476,1.1295119077541653,27.56878170303878,57.38333333333334,0.276,61.55
TC00055,Alison Wilson,47,Female,Cybersecurity,12,3.53,37,8,2.542972972972973,4212.1,113.84054054054054,1.1735910343539253,24.742158256956902,60.3,0.222,53.45
TC00056,Alexis Everett,35,Female,Programming,9,3.95,123,8,2.9804878048780488,11163.13,90.75715447154471,1.175254317548178,24.635498356069153,58.25,0.738,58.16
TC00057,Brittany Scott,44,Male,Data Science,7,3.44,49,15,3.2510204081632654,5070.4,103.47755102040816,0.82446509148346,47.13025103188217,48.983333333333334,0.29400000000000004,59.37
TC00058,Andrew Anderson,49,Male,Web Development,7,3.71,138,10,2.790797101449275,5515.21,39.96528985507246,1.1134132840115722,28.601124011761204,51.68333333333334,0.8280000000000001,55.06
TC00059,Noah Stewart,48,Female,Cybersecurity,6,3.82,47,10,3.0119148936170212,4973.35,105.81595744680853,1.3895223425427647,10.89532086356284,50.7,0.28200000000000003,53.31
TC00060,Benjamin Gray,48,Female,Project Management,14,3.32,92,15,2.934021739130435,15537.36,168.88434782608695,1.4678863175602053,5.870143048136733,62.36666666666666,0.552,51.17
